filename, totalwords, totalkwds, Tax, Legal, Fin, Sys, Idio, rm_totalwords, rm_totalkwds, rm_Tax, rm_Legal, rm_Fin, rm_Sys, rm_Idio, rate_totalwords, rate_totalkwds, rate_Tax, rate_Legal, rate_Fin, rate_Sys, rate_Idio, techindustry_totalwords, techindustry_totalkwds, techindustry_Tax, techindustry_Legal, techindustry_Fin, techindustry_Sys, techindustry_Idio, investment_totalwords, investment_totalkwds, investment_Tax, investment_Legal, investment_Fin, investment_Sys, investment_Idio, expansion_totalwords, expansion_totalkwds, expansion_Tax, expansion_Legal, expansion_Fin, expansion_Sys, expansion_Idio, purchsales_totalwords, purchsales_totalkwds, purchsales_Tax, purchsales_Legal, purchsales_Fin, purchsales_Sys, purchsales_Idio, rd_totalwords, rd_totalkwds, rd_Tax, rd_Legal, rd_Fin, rd_Sys, rd_Idio, image_totalwords, image_totalkwds, image_Tax, image_Legal, image_Fin, image_Sys, image_Idio, shares_totalwords, shares_totalkwds, shares_Tax, shares_Legal, shares_Fin, shares_Sys, shares_Idio, merge_totalwords, merge_totalkwds, merge_Tax, merge_Legal, merge_Fin, merge_Sys, merge_Idio, manage_totalwords, manage_totalkwds, manage_Tax, manage_Legal, manage_Fin, manage_Sys, manage_Idio, rule_totalwords, rule_totalkwds, rule_Tax, rule_Legal, rule_Fin, rule_Sys, rule_Idio, lawsuit_totalwords, lawsuit_totalkwds, lawsuit_Tax, lawsuit_Legal, lawsuit_Fin, lawsuit_Sys, lawsuit_Idio, else_totalwords, else_totalkwds, else_Tax, else_Legal, else_Fin, else_Sys, else_Idio, crisis_totalwords, crisis_totalkwds, crisis_Tax, crisis_Legal, crisis_Fin, crisis_Sys, crisis_Idio, other_totalwords, other_totalkwds, other_Tax, other_Legal, other_Fin, other_Sys, other_Idio, 
1229聯華, 1316, 116, 1, 18, 2, 59, 36, 226, 30, 1, 13, 0, 5, 11, 196, 27, 0, 1, 1, 20, 5, 21, 2, 0, 0, 0, 0, 2, 343, 14, 0, 1, 0, 12, 1, 24, 4, 0, 0, 0, 0, 4, 19, 2, 0, 0, 0, 0, 2, 283, 28, 0, 0, 1, 18, 9, 25, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 72, 9, 0, 3, 0, 4, 2, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 
1308亞聚, 1098, 106, 11, 8, 2, 55, 30, 206, 18, 0, 3, 0, 9, 6, 139, 28, 0, 0, 0, 23, 5, 41, 2, 0, 0, 0, 0, 2, 102, 6, 0, 0, 1, 5, 0, 55, 8, 0, 0, 0, 3, 5, 44, 4, 0, 0, 0, 2, 2, 61, 4, 0, 0, 0, 2, 2, 32, 1, 0, 0, 0, 0, 1, 40, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 94, 10, 8, 0, 0, 1, 1, 167, 19, 3, 4, 1, 10, 1, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 6, 0, 1, 0, 0, 5, 
6243迅杰, 616, 93, 0, 4, 1, 64, 24, 0, 0, 0, 0, 0, 0, 0, 100, 22, 0, 0, 0, 19, 3, 33, 9, 0, 0, 0, 3, 6, 139, 27, 0, 1, 1, 25, 0, 11, 1, 0, 0, 0, 0, 1, 91, 15, 0, 0, 0, 7, 8, 26, 1, 0, 0, 0, 0, 1, 41, 6, 0, 0, 0, 3, 3, 19, 0, 0, 0, 0, 0, 0, 10, 1, 0, 0, 0, 0, 1, 11, 0, 0, 0, 0, 0, 0, 68, 2, 0, 1, 0, 1, 0, 55, 9, 0, 2, 0, 6, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 
3011今皓, 531, 58, 0, 7, 2, 36, 13, 0, 0, 0, 0, 0, 0, 0, 209, 31, 0, 1, 1, 24, 5, 30, 6, 0, 0, 0, 3, 3, 60, 3, 0, 0, 0, 3, 0, 8, 1, 0, 0, 0, 0, 1, 7, 1, 0, 0, 0, 0, 1, 12, 1, 0, 1, 0, 0, 0, 30, 1, 0, 0, 1, 0, 0, 27, 0, 0, 0, 0, 0, 0, 18, 2, 0, 0, 0, 0, 2, 18, 0, 0, 0, 0, 0, 0, 47, 3, 0, 2, 0, 1, 0, 53, 9, 0, 3, 0, 5, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 
1715亞化, 1322, 114, 0, 15, 11, 58, 30, 0, 0, 0, 0, 0, 0, 0, 93, 22, 0, 0, 5, 13, 4, 27, 8, 0, 0, 0, 1, 7, 53, 2, 0, 0, 0, 2, 0, 78, 19, 0, 0, 2, 11, 6, 40, 5, 0, 0, 0, 3, 2, 38, 6, 0, 0, 0, 5, 1, 52, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 14, 2, 0, 0, 0, 0, 2, 19, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 829, 50, 0, 15, 4, 23, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 
1414東和, 429, 33, 0, 4, 2, 18, 9, 0, 0, 0, 0, 0, 0, 0, 53, 8, 0, 0, 2, 6, 0, 12, 1, 0, 0, 0, 0, 1, 66, 4, 0, 1, 0, 3, 0, 10, 1, 0, 0, 0, 0, 1, 69, 6, 0, 0, 0, 2, 4, 14, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 39, 2, 0, 0, 0, 1, 1, 9, 1, 0, 0, 0, 0, 1, 11, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 55, 10, 0, 3, 0, 6, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 
1504東元, 1563, 200, 0, 4, 6, 99, 91, 73, 3, 0, 0, 0, 2, 1, 221, 42, 0, 0, 1, 38, 3, 129, 15, 0, 0, 2, 3, 10, 221, 12, 0, 0, 2, 10, 0, 15, 2, 0, 0, 0, 0, 2, 107, 6, 0, 0, 0, 4, 2, 444, 70, 0, 1, 1, 23, 45, 73, 4, 0, 0, 0, 3, 1, 33, 0, 0, 0, 0, 0, 0, 160, 36, 0, 0, 0, 10, 26, 9, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 54, 10, 0, 3, 0, 6, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 
2511太子, 480, 44, 0, 2, 2, 32, 8, 0, 0, 0, 0, 0, 0, 0, 146, 21, 0, 0, 2, 17, 2, 13, 1, 0, 0, 0, 0, 1, 89, 9, 0, 0, 0, 9, 0, 11, 1, 0, 0, 0, 0, 1, 10, 1, 0, 0, 0, 0, 1, 9, 0, 0, 0, 0, 0, 0, 31, 1, 0, 0, 0, 1, 0, 48, 0, 0, 0, 0, 0, 0, 11, 1, 0, 0, 0, 0, 1, 11, 0, 0, 0, 0, 0, 0, 79, 8, 0, 1, 0, 5, 2, 8, 1, 0, 1, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 
1603華電, 621, 77, 3, 1, 2, 57, 14, 0, 0, 0, 0, 0, 0, 0, 296, 55, 3, 0, 2, 44, 6, 11, 1, 0, 0, 0, 0, 1, 64, 3, 0, 0, 0, 3, 0, 10, 1, 0, 0, 0, 0, 1, 9, 1, 0, 0, 0, 0, 1, 106, 9, 0, 0, 0, 6, 3, 10, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 10, 1, 0, 0, 0, 0, 1, 10, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 52, 6, 0, 1, 0, 4, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 
2012春雨, 278, 25, 0, 1, 3, 15, 6, 0, 0, 0, 0, 0, 0, 0, 53, 12, 0, 0, 3, 8, 1, 13, 1, 0, 0, 0, 0, 1, 57, 5, 0, 0, 0, 4, 1, 10, 1, 0, 0, 0, 0, 1, 28, 5, 0, 0, 0, 3, 2, 22, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 6, 1, 0, 1, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 
